Feature,Importance
CDRSB,0.29588939281459464
FAQ,0.17795368680609774
ADAS13,0.10905087794950169
ADAS11,0.08723524155672309
LDELTOTAL,0.0829729571521444
MMSE,0.060735030253128694
RAVLT_immediate,0.05077904804000518
MOCA,0.031625077954011996
AGE,0.02323042612492885
TRABSCOR,0.022117230666460208
RAVLT_learning,0.021269423951725645
RAVLT_forgetting,0.014350710082806825
PTEDUCAT,0.010281141240769672
PTGENDER_encoded,0.007274475455709879
APOE4,0.005235279951391565
